,userid
1685,581083
1686,581488
1687,581501
1688,581617
1689,581715
1690,581737
1691,582706
1692,582890
1693,583318
1694,583753
1695,584293
1696,585835
1697,587391
1698,588157
1699,588958
1700,590006
1701,590122
1702,591123
1703,591656
1704,592754
1705,593617
1706,595971
1707,596025
1708,597714
1709,598185
1710,599801
1711,600156
1712,600991
1713,601274
1714,601402
1715,601860
1716,602474
1717,603400
1718,603628
1719,604520
1720,604742
1721,604958
1722,605337
1723,605391
1724,605971
1725,605995
1726,606338
1727,606809
1728,608238
1729,608409
1730,608603
1731,608642
1732,608695
1733,608837
1734,608924
1735,609635
1736,610062
1737,610095
1738,610208
1739,610288
1740,610522
1741,610746
1742,611382
1743,611396
1744,611792
1745,611989
1746,612551
1747,612706
1748,612745
1749,612805
1750,613384
1751,613449
1752,614367
1753,616372
1754,616788
1755,617905
1756,618692
1757,619155
1758,620822
1759,620993
1760,621161
1761,621709
1762,621778
1763,621943
1764,623258
1765,624044
1766,624632
1767,624923
1768,625021
1769,625080
1770,625742
1771,625812
1772,626523
1773,627061
1774,627064
1775,627655
1776,628008
1777,628124
1778,629770
1779,629793
1780,630022
1781,630755
1782,631251
1783,631683
1784,631883
1785,632037
1786,632142
1787,632779
1788,632833
1789,632882
1790,633430
1791,633839
1792,633875
1793,634347
1794,634640
1795,635034
1796,635260
1797,635299
1798,635738
1799,636415
1800,637949
1801,638334
1802,638881
1803,639016
1804,639335
1805,639363
1806,639389
1807,639585
1808,640043
1809,640439
1810,640713
1811,640761
1812,640870
1813,640926
1814,640986
1815,641082
1816,641445
1817,642129
1818,642433
1819,642850
1820,644317
1821,644362
1822,644461
1823,644516
1824,644833
1825,644886
1826,645133
1827,645661
1828,645792
1829,646282
1830,646766
1831,647586
1832,647699
1833,648170
1834,648178
1835,648328
1836,648650
1837,648671
1838,648841
1839,649014
1840,650997
1841,651143
1842,651737
1843,652022
1844,652359
1845,652649
1846,652773
1847,653474
1848,653759
1849,654009
1850,654257
1851,654277
1852,654820
1853,655044
1854,655772
1855,655906
1856,656080
1857,656340
1858,656977
1859,657155
1860,657361
1861,658729
1862,658859
1863,659385
1864,659687
1865,659854
1866,660613
1867,660669
1868,660802
1869,662224
1870,662930
1871,663241
1872,663418
1873,665376
1874,666005
1875,666045
1876,667990
1877,669360
1878,670416
1879,670428
1880,670974
1881,671453
1882,671986
1883,671995
1884,672097
1885,672289
1886,672430
1887,672831
1888,673602
1889,674237
1890,675022
1891,675180
1892,675257
1893,675507
1894,676328
1895,677597
1896,677659
1897,677998
1898,678029
1899,678631
1900,679036
1901,679184
1902,679209
1903,679755
1904,679870
1905,680458
1906,681125
1907,681689
1908,681797
1909,682040
1910,682225
1911,683322
1912,684272
1913,684452
1914,684636
1915,685849
1916,687467
1917,687915
1918,688092
1919,688283
1920,688681
1921,689050
1922,689357
1923,689613
1924,689694
1925,692313
1926,692641
1927,692764
1928,693030
1929,693137
1930,695590
1931,695607
1932,695692
1933,696311
1934,697617
1935,697734
1936,698541
1937,699254
1938,700728
1939,702146
1940,703030
1941,703295
1942,703355
1943,704393
1944,704866
1945,705176
1946,706167
1947,707642
1948,707941
1949,708248
1950,708846
1951,710090
1952,711201
1953,711244
1954,712374
1955,712930
1956,713578
1957,714403
1958,714464
1959,714948
1960,715642
1961,716879
1962,716897
1963,717795
1964,717982
1965,718658
1966,719175
1967,719582
1968,721203
1969,721256
1970,721891
1971,722045
1972,722145
1973,722632
1974,723035
1975,723330
1976,723515
1977,724377
1978,724569
1979,724892
1980,726189
1981,726666
1982,726765
1983,727052
1984,727128
1985,727239
1986,727732
1987,727989
1988,729137
1989,729699
1990,729818
1991,730065
1992,730798
1993,731972
1994,732364
1995,732944
1996,733214
1997,733902
1998,734124
1999,734125
2000,734921
2001,737141
2002,737822
2003,738044
2004,738296
2005,738298
2006,739338
2007,739542
2008,739647
2009,739839
2010,740053
2011,740202
2012,740408
2013,740589
2014,740777
2015,741397
2016,741832
2017,743842
2018,743899
2019,744469
2020,745241
2021,745757
2022,746583
2023,747111
2024,747187
2025,747387
2026,747486
2027,747522
2028,747529
2029,747738
2030,748056
2031,748059
2032,748321
2033,748465
2034,749097
2035,749706
2036,749983
2037,750462
2038,750472
2039,750590
2040,750641
2041,750655
2042,750694
2043,751005
2044,751097
2045,751373
2046,751407
2047,751432
2048,752321
2049,752371
2050,752941
2051,752959
2052,753054
2053,753345
2054,753553
2055,753561
2056,754007
2057,755644
2058,756399
2059,756828
2060,756984
2061,757348
2062,757750
2063,757897
2064,757980
2065,758474
2066,758675
2067,758687
2068,759126
2069,759264
2070,760587
2071,760593
2072,761267
2073,761439
2074,761558
2075,761574
2076,761775
2077,761943
2078,762412
2079,762638
2080,762654
2081,762935
2082,762951
2083,763330
2084,763743
2085,764162
2086,765507
2087,765862
2088,765950
2089,766088
2090,767834
2091,768287
2092,768920
2093,770604
2094,770960
2095,771180
2096,771705
2097,771919
2098,772109
2099,772668
2100,772678
2101,774334
2102,774775
2103,774793
2104,775044
2105,778550
2106,780036
2107,780358
2108,780529
2109,781253
2110,781300
2111,782108
2112,782556
2113,782599
2114,783490
2115,784545
2116,786581
2117,786591
2118,786605
2119,787138
2120,788137
2121,788199
2122,788421
2123,788586
2124,788688
2125,788780
2126,788781
2127,788836
2128,788984
2129,789021
2130,789148
2131,789291
2132,789434
2133,789465
2134,789599
2135,789870
2136,790805
2137,791697
2138,793257
2139,794100
2140,794856
2141,795595
2142,795915
2143,796364
2144,796539
2145,798461
2146,798480
2147,798630
2148,798648
2149,798732
2150,798846
2151,798870
2152,798893
2153,799264
2154,799445
2155,799697
2156,799739
2157,799785
2158,800364
2159,800930
2160,801858
2161,801948
2162,802231
2163,802311
2164,802500
2165,803071
2166,803111
2167,804108
2168,804880
2169,804920
2170,805718
2171,805778
2172,806983
2173,807678
2174,807843
2175,807976
2176,808002
2177,809095
2178,809442
2179,810282
2180,810438
2181,810553
2182,810591
2183,811287
2184,811400
2185,811406
2186,811849
2187,812814
2188,813377
2189,813391
2190,814224
2191,814422
2192,814552
2193,814650
2194,815666
2195,817280
2196,817291
2197,817338
2198,817675
2199,818471
2200,819130
2201,819488
2202,819591
2203,820267
2204,822388
2205,822915
2206,823349
2207,823405
2208,823459
2209,825644
2210,825810
2211,825947
2212,826541
2213,831029
2214,832468
2215,833606
2216,834302
2217,835064
2218,835220
2219,835277
2220,836726
2221,837396
2222,837599
2223,838031
2224,838609
2225,839022
2226,839535
2227,842605
2228,842637
2229,843137
2230,845411
2231,846442
2232,846585
2233,846639
2234,846715
2235,846839
2236,846930
2237,846946
2238,846977
2239,847021
2240,847638
2241,847820
2242,848720
2243,849005
2244,849244
2245,850030
2246,850876
2247,850932
2248,851605
2249,851670
2250,852689
2251,852802
2252,852896
2253,853268
2254,853497
2255,854182
2256,854665
2257,855116
2258,858078
2259,858581
2260,858716
2261,858908
2262,859319
2263,859649
2264,862014
2265,862504
2266,862637
2267,862842
2268,863666
2269,863965
2270,864460
2271,865496
2272,866349
2273,866704
2274,866766
2275,866811
2276,866917
2277,866934
2278,867146
2279,867317
2280,867435
2281,867577
2282,867930
2283,868121
2284,868153
2285,868410
2286,869531
2287,869865
2288,870143
2289,870310
2290,870447
2291,872665
2292,874472
2293,874544
2294,874701
2295,875954
2296,876660
2297,876669
2298,878196
2299,878591
2300,879253
2301,879256
2302,879475
2303,879796
2304,881866
2305,883786
2306,884113
2307,884530
2308,884769
2309,885111
2310,885713
2311,885738
2312,885968
2313,886207
2314,886301
2315,887450
2316,888533
2317,888588
2318,888811
2319,889106
2320,889149
2321,889728
2322,890361
2323,890418
2324,890508
2325,890520
2326,891466
2327,891558
2328,891574
2329,891783
2330,891925
2331,892646
2332,892838
2333,893612
2334,893667
2335,893746
2336,893838
2337,895281
2338,895897
2339,896590
2340,897365
2341,897762
2342,899057
2343,899073
2344,902102
2345,902208
2346,902650
2347,902805
2348,903654
2349,903913
2350,904623
2351,904676
2352,904744
2353,904916
2354,905086
2355,905475
2356,906109
2357,906510
2358,908462
2359,908750
2360,908985
2361,909606
2362,910033
2363,910609
2364,910702
2365,910918
2366,911789
2367,911814
2368,913392
2369,914047
2370,914288
2371,914394
2372,914729
2373,915039
2374,915048
2375,915439
2376,915740
2377,915919
2378,916089
2379,916167
2380,916221
2381,916604
2382,916788
